tick | mnemonic
0326 | pc + extended(dr[22:0]) -> pc
0327 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0328 | dr[22:0] -> ar
0329 | mem(ar)[31:0] -> dr
0330 | dr[22:0] -> ar
0331 | mem(ar)[7:0] -> dr
0332 | dr[7:0] -> acc
0333 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0334 | dr[22:0] -> output address
0335 | acc -> output
0336 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0337 | dr[22:0] + pc -> ar
0338 | mem(ar)[31:0] -> dr
0339 | dr[31:0] -> acc
0340 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0341 | acc + 1 -> acc
0342 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0343 | dr[22:0] + pc -> ar
0344 | acc[31:0] -> mem(ar)
0345 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0346 | acc - extended(dr[22:0]) -> acc
0347 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0348 | acc - extended(dr[22:0]) -> acc
0349 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0350 | dr[22:0] + pc -> ar
0351 | mem(ar)[31:0] -> dr
0352 | acc - mem(ar) -> acc
0353 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0354 | if Z set: jmp @fetch
0355 | pc + extended(dr[22:0]) -> pc
0356 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0357 | dr[22:0] -> ar
0358 | mem(ar)[31:0] -> dr
0359 | dr[22:0] -> ar
0360 | mem(ar)[7:0] -> dr
0361 | dr[7:0] -> acc
0362 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0363 | dr[22:0] -> output address
0364 | acc -> output
0365 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0366 | dr[22:0] + pc -> ar
0367 | mem(ar)[31:0] -> dr
0368 | dr[31:0] -> acc
0369 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0370 | acc + 1 -> acc
0371 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0372 | dr[22:0] + pc -> ar
0373 | acc[31:0] -> mem(ar)
0374 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0375 | acc - extended(dr[22:0]) -> acc
0376 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0377 | acc - extended(dr[22:0]) -> acc
0378 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0379 | dr[22:0] + pc -> ar
0380 | mem(ar)[31:0] -> dr
0381 | acc - mem(ar) -> acc
0382 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0383 | if Z set: jmp @fetch
0384 | pc + extended(dr[22:0]) -> pc
0385 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0386 | dr[22:0] -> ar
0387 | mem(ar)[31:0] -> dr
0388 | dr[22:0] -> ar
0389 | mem(ar)[7:0] -> dr
0390 | dr[7:0] -> acc
0391 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0392 | dr[22:0] -> output address
0393 | acc -> output
0394 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0395 | dr[22:0] + pc -> ar
0396 | mem(ar)[31:0] -> dr
0397 | dr[31:0] -> acc
0398 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0399 | acc + 1 -> acc
0400 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0401 | dr[22:0] + pc -> ar
0402 | acc[31:0] -> mem(ar)
0403 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0404 | acc - extended(dr[22:0]) -> acc
0405 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0406 | acc - extended(dr[22:0]) -> acc
0407 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0408 | dr[22:0] + pc -> ar
0409 | mem(ar)[31:0] -> dr
0410 | acc - mem(ar) -> acc
0411 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0412 | if Z set: jmp @fetch
0413 | pc + extended(dr[22:0]) -> pc
0414 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0415 | dr[22:0] -> ar
0416 | mem(ar)[31:0] -> dr
0417 | dr[22:0] -> ar
0418 | mem(ar)[7:0] -> dr
0419 | dr[7:0] -> acc
0420 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0421 | dr[22:0] -> output address
0422 | acc -> output
0423 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0424 | dr[22:0] + pc -> ar
0425 | mem(ar)[31:0] -> dr
0426 | dr[31:0] -> acc
0427 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0428 | acc + 1 -> acc
0429 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0430 | dr[22:0] + pc -> ar
0431 | acc[31:0] -> mem(ar)
0432 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0433 | acc - extended(dr[22:0]) -> acc
0434 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0435 | acc - extended(dr[22:0]) -> acc
0436 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0437 | dr[22:0] + pc -> ar
0438 | mem(ar)[31:0] -> dr
0439 | acc - mem(ar) -> acc
0440 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0441 | if Z set: jmp @fetch
0442 | pc + extended(dr[22:0]) -> pc
0443 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0444 | dr[22:0] -> ar
0445 | mem(ar)[31:0] -> dr
0446 | dr[22:0] -> ar
0447 | mem(ar)[7:0] -> dr
0448 | dr[7:0] -> acc
0449 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0450 | dr[22:0] -> output address
0451 | acc -> output
0452 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0453 | dr[22:0] + pc -> ar
0454 | mem(ar)[31:0] -> dr
0455 | dr[31:0] -> acc
0456 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0457 | acc + 1 -> acc
0458 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0459 | dr[22:0] + pc -> ar
0460 | acc[31:0] -> mem(ar)
0461 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0462 | acc - extended(dr[22:0]) -> acc
0463 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0464 | acc - extended(dr[22:0]) -> acc
0465 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0466 | dr[22:0] + pc -> ar
0467 | mem(ar)[31:0] -> dr
0468 | acc - mem(ar) -> acc
0469 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0470 | if Z set: jmp @fetch
0471 | pc + extended(dr[22:0]) -> pc
0472 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0473 | dr[22:0] -> ar
0474 | mem(ar)[31:0] -> dr
0475 | dr[22:0] -> ar
0476 | mem(ar)[7:0] -> dr
0477 | dr[7:0] -> acc
0478 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0479 | dr[22:0] -> output address
0480 | acc -> output
0481 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0482 | dr[22:0] + pc -> ar
0483 | mem(ar)[31:0] -> dr
0484 | dr[31:0] -> acc
0485 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0486 | acc + 1 -> acc
0487 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0488 | dr[22:0] + pc -> ar
0489 | acc[31:0] -> mem(ar)
0490 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0491 | acc - extended(dr[22:0]) -> acc
0492 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0493 | acc - extended(dr[22:0]) -> acc
0494 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0495 | dr[22:0] + pc -> ar
0496 | mem(ar)[31:0] -> dr
0497 | acc - mem(ar) -> acc
0498 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0499 | if Z set: jmp @fetch
0500 | pc + extended(dr[22:0]) -> pc
0501 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0502 | dr[22:0] -> ar
0503 | mem(ar)[31:0] -> dr
0504 | dr[22:0] -> ar
0505 | mem(ar)[7:0] -> dr
0506 | dr[7:0] -> acc
0507 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0508 | dr[22:0] -> output address
0509 | acc -> output
0510 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0511 | dr[22:0] + pc -> ar
0512 | mem(ar)[31:0] -> dr
0513 | dr[31:0] -> acc
0514 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0515 | acc + 1 -> acc
0516 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0517 | dr[22:0] + pc -> ar
0518 | acc[31:0] -> mem(ar)
0519 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0520 | acc - extended(dr[22:0]) -> acc
0521 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0522 | acc - extended(dr[22:0]) -> acc
0523 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0524 | dr[22:0] + pc -> ar
0525 | mem(ar)[31:0] -> dr
0526 | acc - mem(ar) -> acc
0527 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0528 | if Z set: jmp @fetch
0529 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0530 | extended(dr[22:0]) -> acc
0531 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0532 | acc + extended(dr[22:0]) -> acc
